E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
309	88.1	1423.992	13497.140	1833.032	31.785
309	88.2	1346.612	13203.941	1779.098	29.546
309	88.3	1269.409	12917.629	1726.941	27.706
309	88.4	1192.399	12637.831	1676.466	26.166
310	87.9	1581.113	14092.578	1942.161	38.018
310	88.0	1503.332	13784.720	1884.500	34.478
310	88.1	1425.695	13484.568	1828.820	31.706
310	88.2	1348.219	13191.686	1775.011	29.477
310	88.3	1270.921	12905.669	1722.973	27.646
310	88.4	1193.816	12626.148	1672.612	26.112
311	87.9	1583.005	14079.361	1937.705	37.903
311	88.0	1505.127	13771.864	1880.182	34.384
311	88.1	1427.394	13472.049	1824.632	31.627
311	88.2	1349.823	13179.481	1770.947	29.409
311	88.3	1272.429	12893.759	1719.028	27.586
311	88.4	1195.229	12614.514	1668.780	26.058
312	87.9	1584.892	14066.198	1933.274	37.789
312	88.0	1506.917	13759.059	1875.887	34.291
312	88.1	1429.088	13459.580	1820.467	31.548
312	88.2	1351.422	13167.326	1766.906	29.341
312	88.3	1273.933	12881.898	1715.105	27.526
312	88.4	1196.638	12602.927	1664.969	26.005
313	87.9	1586.774	14053.087	1928.868	37.675
313	88.0	1508.703	13746.307	1871.616	34.198
313	88.1	1430.779	13447.162	1816.326	31.470
313	88.2	1353.017	13155.221	1762.888	29.274
313	88.3	1275.433	12870.086	1711.203	27.467
313	88.4	1198.044	12591.389	1661.180	25.952
314	87.9	1588.651	14040.029	1924.486	37.562
314	88.0	1510.485	13733.606	1867.370	34.105
314	88.1	1432.465	13434.795	1812.207	31.392
314	88.2	1354.608	13143.166	1758.892	29.207
314	88.3	1276.930	12858.323	1707.324	27.408
314	88.4	1199.447	12579.898	1657.412	25.900
315	87.8	1668.918	14341.148	1979.175	41.957
315	87.9	1590.524	14027.024	1920.128	37.451
315	88.0	1512.262	13720.956	1863.146	34.014
315	88.1	1434.146	13422.478	1808.112	31.315
315	88.2	1356.194	13131.160	1754.918	29.140
315	88.3	1278.422	12846.607	1703.467	27.350
315	88.4	1200.846	12568.455	1653.666	25.848
316	87.8	1670.881	14327.816	1974.700	41.817
316	87.9	1592.392	14014.072	1915.795	37.339
316	88.0	1514.034	13708.358	1858.946	33.923
316	88.1	1435.824	13410.210	1804.039	31.238
316	88.2	1357.777	13119.202	1750.967	29.074
316	88.3	1279.911	12834.939	1699.631	27.292
316	88.4	1202.241	12557.058	1649.940	25.796
317	87.8	1672.840	14314.537	1970.251	41.678
317	87.9	1594.255	14001.170	1911.485	37.229
317	88.0	1515.802	13695.810	1854.769	33.832
317	88.1	1437.497	13397.993	1799.989	31.162
317	88.2	1359.356	13107.293	1747.037	29.008
317	88.3	1281.396	12823.319	1695.816	27.234
317	88.4	1203.633	12545.708	1646.235	25.744
318	87.8	1674.794	14301.311	1965.825	41.540
318	87.9	1596.114	13988.321	1907.199	37.119
318	88.0	1517.566	13683.312	1850.615	33.742
318	88.1	1439.166	13385.824	1795.961	31.086
318	88.2	1360.931	13095.432	1743.129	28.943
318	88.3	1282.877	12811.746	1692.022	27.176
318	88.4	1205.021	12534.404	1642.551	25.693
319	87.8	1676.744	14288.138	1961.424	41.403
319	87.9	1597.968	13975.523	1902.936	37.010
319	88.0	1519.325	13670.865	1846.484	33.653
319	88.1	1440.831	13373.704	1791.955	31.011
319	88.2	1362.502	13083.619	1739.242	28.878
319	88.3	1284.355	12800.219	1688.250	27.119
319	88.4	1206.406	12523.146	1638.887	25.641
320	87.8	1678.688	14275.016	1957.046	41.267
320	87.9	1599.817	13962.775	1898.696	36.902
320	88.0	1521.079	13658.467	1842.376	33.564
320	88.1	1442.491	13361.633	1787.971	30.936
320	88.2	1364.069	13071.853	1735.377	28.813
320	88.3	1285.829	12788.739	1684.498	27.062
320	88.4	1207.787	12511.933	1635.243	25.591
321	87.8	1680.627	14261.947	1952.693	41.132
321	87.9	1601.662	13950.079	1894.480	36.795
321	88.0	1522.830	13646.118	1838.289	33.476
321	88.1	1444.148	13349.610	1784.009	30.861
321	88.2	1365.632	13060.135	1731.533	28.749
321	88.3	1287.299	12777.306	1680.766	27.006
321	88.4	1209.165	12500.766	1631.619	25.540
322	87.8	1682.562	14248.928	1948.362	40.998
