strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
121	422091.00	1308558.00	-1.13146	1825980	1825501	2248071	3134059
122	664420.00	2074478.00	-1.13855	1827513	1826953	2491933	3901431
123	1012996.00	3153856.00	-1.13571	1879037	1878431	2892033	5032287
124	1497556.00	4677610.00	-1.13895	1789648	1789309	3287204	6466919
125	2078376.00	6505709.00	-1.14109	1909920	1910388	3988296	8416097
126	2710570.00	8512529.00	-1.14438	1731392	1732830	4441962	10245359
127	3441888.00	10785214.00	-1.14216	1972322	1973161	5414210	12758375
128	4216353.00	13185784.00	-1.14017	1887328	1887732	6103681	15073516
129	4809076.00	15039261.00	-1.14016	1862387	1863605	6671463	16902866
130	5361776.00	16757561.00	-1.13955	1822679	1823065	7184455	18580626
131	5800430.00	18130967.00	-1.13969	1920483	1920446	7720913	20051413
132	6135445.00	19180191.00	-1.13980	1699638	1700071	7835083	20880262
133	6293740.00	19691002.00	-1.14061	1849378	1850622	8143118	21541624
134	6434607.00	20130256.00	-1.14053	1713843	1714038	8148450	21844294
135	6618913.00	20680156.00	-1.13924	1705337	1703501	8324250	22383657
136	6660966.00	20798068.00	-1.13860	1666828	1668247	8327794	22466315
137	6648752.00	20769016.00	-1.13903	1844283	1844583	8493035	22613599
138	6752272.00	21064698.00	-1.13772	1794946	1795255	8547218	22859953
139	6801842.00	21217561.00	-1.13764	1810994	1811303	8612836	23028864
140	6899496.00	21532534.00	-1.13812	1757146	1758503	8656642	23291037
141	6924228.00	21615084.00	-1.13836	1878683	1877821	8802911	23492905
142	7112047.00	22182593.00	-1.13752	1787782	1787854	8899829	23970447
143	7045188.00	21975419.00	-1.13758	1937272	1935665	8982460	23911084
144	7123499.00	22193767.00	-1.13641	1696949	1698090	8820448	23891857
145	7182908.00	22380654.00	-1.13649	1911841	1911049	9094749	24291703
146	7248071.00	22576414.00	-1.13617	1685156	1685732	8933227	24262146
147	7242838.00	22567605.00	-1.13650	1796395	1796726	9039233	24364331
148	7366423.00	22932880.00	-1.13564	1680919	1681899	9047342	24614779
149	7374529.00	22948008.00	-1.13520	1871876	1870957	9246405	24818965
150	7501516.00	23316346.00	-1.13405	1676488	1676214	9178004	24992560
151	7551916.00	23463211.00	-1.13363	1795087	1793108	9347003	25256319
152	7555230.00	23470618.00	-1.13351	1714880	1714909	9270110	25185527
153	7659137.00	23786284.00	-1.13321	1871592	1872852	9530729	25659136
154	7762540.00	24113316.00	-1.13345	1748846	1748893	9511386	25862209
155	7709969.00	23924122.00	-1.13237	1782558	1784086	9492527	25708208
156	7856263.00	24380032.00	-1.13245	1824398	1824326	9680661	26204358
157	7860600.00	24381994.00	-1.13198	1782470	1782795	9643070	26164789
158	7946257.00	24631900.00	-1.13134	1784325	1785429	9730582	26417329
159	8012224.00	24827499.00	-1.13098	1791995	1794396	9804219	26621895
160	8130089.00	25156014.00	-1.12953	1705741	1706249	9835830	26862263
161	8172655.00	25272076.00	-1.12891	1871519	1873259	10044174	27145335
162	8250273.00	25483638.00	-1.12779	1752779	1752326	10003052	27235964
163	8281050.00	25602680.00	-1.12873	1899585	1900344	10180635	27503024
164	8397191.00	25888111.00	-1.12589	1743819	1744752	10141010	27632863
165	8497006.00	26152993.00	-1.12425	1777939	1778754	10274945	27931747
166	8658398.00	26588799.00	-1.12196	1757145	1759056	10415543	28347855
167	8744337.00	26808048.00	-1.12030	1816745	1817116	10561082	28625164
168	8905236.00	27225086.00	-1.11750	1686033	1686730	10591269	28911816
169	8628095.00	26325809.00	-1.11553	1789469	1790408	10417564	28116217
170	8429328.00	25645396.00	-1.11265	1633481	1633554	10062809	27278950
171	8460651.00	25646437.00	-1.10898	1798269	1799027	10258920	27445464
172	8937027.00	26925289.00	-1.10286	1651680	1652480	10588707	28577769
173	9117816.00	27273929.00	-1.09570	1867445	1867814	10985261	29141743
174	9203546.00	27249872.00	-1.08546	1773948	1775083	10977494	29024955
175	9174356.00	26772800.00	-1.07097	1921940	1921598	11096296	28694398
176	9336243.00	26518237.00	-1.04393	1609496	1611090	10945739	28129327
177	9370999.00	25273807.00	-0.99215	1816335	1814964	11187334	27088771
178	9431250.00	23108125.00	-0.89616	1613842	1614390	11045092	24722515
179	9405907.00	20239228.00	-0.76628	1846253	1845446	11252160	22084674
180	9522526.00	18351973.00	-0.65608	1718660	1719673	11241186	20071646
181	9667059.00	17601867.00	-0.59928	1708112	1707714	11375171	19309581
182	9762355.00	17509803.00	-0.58423	1656117	1657417	11418472	19167220
183	9745753.00	17592308.00	-0.59063	1862079	1861210	11607832	19453518
184	10004346.00	18114647.00	-0.59370	1726038	1727272	11730384	19841919
185	9891572.00	17689678.00	-0.58130	1909246	1908466	11800818	19598144
186	9711095.00	16862734.00	-0.55184	1658516	1658831	11369611	18521565
187	9706557.00	16308179.00	-0.51887	1754105	1753796	11460662	18061975
188	10097235.00	16410481.00	-0.48566	1725651	1726078	11822886	18136559
189	10083544.00	15796148.00	-0.44886	2049415	2049598	12132959	17845746
190	10190002.00	15272134.00	-0.40462	1698045	1698016	11888047	16970150
191	10239773.00	14563337.00	-0.35223	1897800	1898941	12137573	16462278
192	10296885.00	13744426.00	-0.28879	1711782	1711376	12008667	15455802
193	10308024.00	12818661.00	-0.21798	1871091	1872196	12179115	14690857
194	10371113.00	11965569.00	-0.14301	1859098	1860237	12230211	13825806
195	10406243.00	11184045.00	-0.07208	1848780	1850123	12255023	13034168
196	10529349.00	10633175.00	-0.00981	1758112	1758708	12287461	12391883
197	10617184.00	10236103.00	0.03655	1835033	1835577	12452217	12071680
198	10689337.00	10055392.00	0.06114	1662919	1663547	12352256	11718939
199	10726029.00	10059476.00	0.06416	1722697	1722958	12448726	11782434
200	10804790.00	10267866.00	0.05097	1618113	1619964	12422903	11887830
201	10869946.00	10576047.00	0.02741	1871776	1872224	12741722	12448271
202	11002673.00	10984652.00	0.00164	1691319	1692529	12693992	12677181
203	10919765.00	11124968.00	-0.01862	1877463	1877554	12797228	13002522
204	11063326.00	11422705.00	-0.03197	1558662	1559660	12621988	12982365
205	11124044.00	11523894.00	-0.03531	1793624	1792922	12917668	13316816
206	11186489.00	11481978.00	-0.02607	1639937	1640371	12826426	13122349
207	11143606.00	11191066.00	-0.00425	1756345	1755357	12899951	12946423
208	11301409.00	10999798.00	0.02705	1645981	1647374	12947390	12647172
209	11294839.00	10630010.00	0.06066	1802577	1801915	13097416	12431925
210	11486517.00	10539903.00	0.08601	1580155	1581169	13066672	12121072
211	11542443.00	10487660.00	0.09583	1741727	1741158	13284170	12228818
212	11641212.00	10638330.00	0.09009	1721274	1722475	13362486	12360805
213	11657263.00	10863499.00	0.07052	1819910	1818786	13477173	12682285
214	11780635.00	11271693.00	0.04416	1578416	1578443	13359051	12850136
215	11832744.00	11608772.00	0.01911	1922401	1921895	13755145	13530667
216	11934931.00	11957820.00	-0.00192	1676398	1676973	13611329	13634793
217	11976892.00	12211138.00	-0.01937	1830629	1832093	13807521	14043231
218	11955941.00	12371475.00	-0.03417	1588151	1588930	13544092	13960405
219	12063730.00	12677860.00	-0.04965	1769360	1770658	13833090	14448518
220	12170485.00	12979093.00	-0.06433	1540813	1541209	13711298	14520302
221	12123963.00	13061535.00	-0.07449	1790244	1791620	13914207	14853155
222	12236390.00	13254578.00	-0.07993	1745340	1745615	13981730	15000193
223	12328885.00	13374966.00	-0.08144	1824524	1826359	14153409	15201325
224	12334445.00	13345586.00	-0.07879	1668826	1669560	14003271	15015146
225	12346696.00	13299728.00	-0.07436	1917416	1920207	14264112	15219935
